uuid (primary_key),kode_prov,provinsi,kode_kabko,kabko,kode_kec,kecamatan,kode_kel,kelurahan,name,address,postal_code,latitude,longitude,image_url,facilities,rating,review_count,is_verified,mosque_type,mosque_topology,priority_score,tier,checkin_count,Search Vector,created_at,updated_at
cde579bc-2e8c-53d7-a7fe-014d5ea1b804,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Islamic Center Cihideung,Religious destination · Jl. Raya Labuan - Pandeglang No.10,42283,"-6,3480185","106,0449411",,,"4,7","15,",,islamic_center,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
0f127e05-ebec-5861-a730-954ffa31337f,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Pondok pesantren Nurul Jannah Albantani,"Unnamed Road, Ujungjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283, Indonesia",42283,"-6,7881317","105,5100067",,,"5,","3,",,islamic_center,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
615cb1d3-5ad8-57aa-9af7-928f40a8579b,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Masjid Agung Pandeglang,"Pandeglang, Pandeglang Regency, Banten, Indonesia",42283,"-6,3089162","106,1045273",,parking|ac|sound_system,"4,8","1931,",,masjid,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
c1b29733-5bdc-5978-8889-8b86279b4d1d,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Pantai Sumur Pandeglang Banten,"Tamanjaya, Sumur, Pandeglang Regency, Banten, Indonesia",42283,"-6,7801715","105,503314",,,"4,5","56,",,langgar,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
eda5667f-5790-52c6-abef-33e84b312e6a,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Posko Dziarah Sumur Tujuh,"Pagerbatu, Pandeglang Regency, Banten, Indonesia",42283,"-6,2981088","106,0680856",,,"4,5","4,",,langgar,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
a786d472-7e63-5881-a1b7-efd7354c8238,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Masjid Tamanjaya,"Tamanjaya, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,7845242","105,5034989",,,"4,6","8,",,masjid,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
17d72b48-9c5c-53f5-90cd-9d053a6ab715,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,MASJID,"Ujungjaya, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,8023995","105,5052867",,,,"0,",,masjid,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
6afd4d2b-0d13-5e65-a441-d127fca9e3b3,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Mushola,"Ujungjaya, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,8134025","105,4936982",,,"5,","1,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
1dde04d3-21f3-5e7b-8200-60aa063e584d,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,MUSHOLA AN-NUR,"Sumberjaya, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,6563187","105,5836809",,,"4,","1,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
57cff381-91b7-5276-9cb5-a3d1c2e78ce2,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Mushola Nurul Amal,"Jl. Taman Nasional Ujung Kulon, Ujungjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283, Indonesia",42283,"-6,7996269","105,5066912",,,"4,7","13,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
46d877d6-bd6d-5386-b5de-98d1db306c29,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Mushola Al-Ikhsan,"Cigorondong, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,7410635","105,5185308",,,"5,","2,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
6b71b007-4284-5f39-953e-bdfb8da9f684,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Masjid/Mushola,"Jl. Taman Nasional Ujung Kulon, Ujungjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283, Indonesia",42283,"-6,787957","105,5043184",,,"4,","1,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
63f57cf5-2aa5-5a80-93b7-f6b3cd73c49d,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Musollah ATTAQWA,"Tamanjaya, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,7749897","105,5072286",,,,"0,",,musala,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
e7135b62-202a-5540-8951-c200ec1748eb,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Mushola Al-Istiqomah,"Jl. Cibaliung - Sumur, Padasuka, Kec. Cimanggu, Kabupaten Pandeglang, Banten 42284, Indonesia",42283,"-6,7045206","105,6496479",,,,"0,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
ae24ce7a-42c1-5dea-a117-40f7ef252c28,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Mushola kp. Ciparahu Girang Sabrang,"Ciparahu girang, Tangkilsari, Kec. Sumur, Kabupaten Pandeglang, Banten 42283, Indonesia",42283,"-6,6646802","105,6023827",,,"3,5","2,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
e028f6c4-d285-5f50-be3f-ca6b66c2777f,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Masjid Sumurwaru Kertaraharja,"sumur waru di dekat, Kertaraharja, Kec. Sobang, Kabupaten Pandeglang, Banten 42281, Indonesia",42283,"-6,5768655","105,8064897",,,"4,5","2,",,masjid,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
56d37f12-090e-5d2f-b839-d04ac2c8e8a3,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,MUSHOLA RUDOTHUL JANNAH,"Cigorondong, Sumur, Pandeglang Regency, Banten 42283, Indonesia",42283,"-6,7434944","105,5135791",,,,"0,",,mushola,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
7cd81189-773c-55b0-94c8-fd7e3d860fb4,36,BANTEN,36.01,PANDEGLANG,36.01.01,SUMUR,,,Masjid Jami Al-Mujtahidin,"Jl. Taman Nasional Ujung Kulon, Tamanjaya, Kec. Sumur, Kabupaten Pandeglang, Banten 42283, Indonesia",42283,"-6,777122","105,507672",,,"4,8","5,",,masjid,,,,"0,",,2026-06-28 11:59:08,2026-06-28 11:59:08
