pair_index,source_node,target_node,straight_distance_km,dijkstra_ms,astar_ms,dijkstra_nodes,astar_nodes,route_distance_km,route_travel_time_seconds,optimal_cost_match,osrm_distance_error_percent,osrm_duration_error_percent
1,4922675771,1359356772,14.642,379.04,446.55,36189,36401,25.089,1532.231487,True,1.427,12.243
2,5129946734,4297446426,24.008,533.28,1178.73,50990,92588,32.182,2142.869989,True,19.471,2.116
3,5042680830,6420409426,7.873,73.71,90.02,7451,8858,12.921,801.27971,True,0.333,17.009
4,1363215579,4996295839,15.715,299.41,549.36,29001,44351,24.684,1516.03169,True,8.48,2.349
5,13083637898,328919905,10.655,182.62,409.56,22259,29083,15.673,1267.768158,True,6.138,39.086
6,5490547514,2380732158,5.015,28.53,51.55,3763,4548,6.086,574.447331,True,7.0,26.502
7,5631877242,12158626201,18.634,378.79,706.52,32910,44416,27.632,1604.121125,True,2.634,8.147
8,6782206924,8785101511,13.505,572.87,786.44,45425,47923,21.548,1509.909377,True,16.549,0.375
9,5477200039,2026316540,15.251,370.9,394.14,36729,33677,19.678,1365.748096,True,0.483,19.415
10,7123162222,5427948154,15.261,361.05,587.31,37154,48504,24.831,1622.821317,True,0.976,2.587
