pair_index,source_node,target_node,straight_distance_km,dijkstra_ms,astar_ms,dijkstra_nodes,astar_nodes,route_distance_km,route_travel_time_seconds,optimal_cost_match,osrm_distance_error_percent,osrm_duration_error_percent
1,4922675771,1359356772,14.642,317.49,420.29,36189,36401,25.089,1532.231487,True,,
2,5129946734,4297446426,24.008,507.91,1147.84,50990,92588,32.182,2142.869989,True,,
3,5042680830,6420409426,7.873,54.05,94.43,7451,8858,12.921,801.27971,True,,
4,1363215579,4996295839,15.715,240.52,538.89,29001,44351,24.684,1516.03169,True,,
5,13083637898,328919905,10.655,190.25,325.03,22259,29083,15.673,1267.768158,True,,
6,5490547514,2380732158,5.015,29.51,72.05,3763,4548,6.086,574.447331,True,,
7,5631877242,12158626201,18.634,307.04,584.62,32910,44416,27.632,1604.121125,True,,
8,6782206924,8785101511,13.505,406.09,632.31,45425,47923,21.548,1509.909377,True,,
9,5477200039,2026316540,15.251,307.94,375.46,36729,33677,19.678,1365.748096,True,,
10,7123162222,5427948154,15.261,340.24,559.0,37154,48504,24.831,1622.821317,True,,
11,2225756643,7635078996,19.732,738.84,861.7,72769,69403,27.595,1822.640145,True,,
12,5490536455,8813996383,18.716,418.16,610.0,46579,49694,30.988,1742.504799,True,,
13,5116663334,5488091804,3.164,7.18,15.54,1015,996,4.027,524.695918,True,,
14,7098670118,3999617720,21.024,737.63,2047.4,49252,94442,30.377,1920.422709,True,,
15,376220291,319948921,20.15,342.91,343.77,32614,26308,26.309,1581.685721,True,,
16,2372055523,12898565619,11.927,237.1,443.3,28273,36385,19.892,1314.587912,True,,
17,3725743024,5638968828,12.235,252.75,346.88,29441,29694,18.181,1333.495998,True,,
18,5504301629,3660144745,22.917,403.77,580.1,39332,41973,29.005,1639.84333,True,,
19,5100784788,4927853171,28.899,521.44,729.25,52426,56144,43.912,2395.879016,True,,
20,410128828,6618441810,26.861,616.7,896.85,62563,67737,35.951,2109.042777,True,,
